pork,root vegetables,rice,sparkling wine,hygiene articles,newspapers,shopping bags,,,,,,,,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,brown bread,canned fish,bottled water,canned beer,candles,,,,,,,,,,,,,,,,
photo/film,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,dessert,soft cheese,brown bread,shopping bags,,,,,,,,,,,,,,,,,,
chicken,yogurt,cream cheese ,specialty cheese,margarine,canned vegetables,soda,candy,hygiene articles,dishes,,,,,,,,,,,,,
soda,bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,canned beer,,,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,other vegetables,ice cream,,,,,,,,,,,,,,,,,,,
pastry,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,butter,rice,bottled water,soda,canned beer,white wine,specialty chocolate,detergent,decalcifier,candles,,,,,,,,,,,
hard cheese,pasta,canned vegetables,canned fish,soda,,,,,,,,,,,,,,,,,,
curd,flour,canned beer,,,,,,,,,,,,,,,,,,,,
berries,whipped/sour cream,coffee,bottled water,soda,white wine,salty snack,hygiene articles,,,,,,,,,,,,,,,
cat food,canned beer,specialty chocolate,hygiene articles,napkins,shopping bags,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,
soda,nut snack,flower (seeds),,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,
brown bread,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,whole milk,curd,,,,,,,,,,,,,,,,,,,
whipped/sour cream,frozen vegetables,newspapers,,,,,,,,,,,,,,,,,,,,
yogurt,sliced cheese,frozen meals,,,,,,,,,,,,,,,,,,,,
chicken,other vegetables,,,,,,,,,,,,,,,,,,,,,
photo/film,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,tropical fruit,pip fruit,grapes,bottled water,soda,bottled beer,cake bar,,,,,,,,,,,,,,
tropical fruit,mustard,sauces,,,,,,,,,,,,,,,,,,,,
whole milk,margarine,soda,napkins,photo/film,,,,,,,,,,,,,,,,,,
butter,curd,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,UHT-milk,frozen fish,soda,fruit/vegetable juice,hygiene articles,napkins,,,,,,,,,,,,,,
pork,,,,,,,,,,,,,,,,,,,,,,
frozen fish,,,,,,,,,,,,,,,,,,,,,,
beef,,,,,,,,,,,,,,,,,,,,,,
other vegetables,UHT-milk,canned vegetables,bottled water,cake bar,shopping bags,,,,,,,,,,,,,,,,,
chicken,packaged fruit/vegetables,butter,condensed milk,rolls/buns,,,,,,,,,,,,,,,,,,
beverages,,,,,,,,,,,,,,,,,,,,,,
pork,,,,,,,,,,,,,,,,,,,,,,
candy,photo/film,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
other vegetables,frozen vegetables,domestic eggs,soda,canned beer,liquor,shopping bags,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,,,,,
sausage,hamburger meat,tropical fruit,pip fruit,other vegetables,sliced cheese,hard cheese,frozen fish,rolls/buns,brown bread,pastry,sauces,organic products,canned fruit,popcorn,dental care,napkins,kitchen towels,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,chocolate,,,,,,,,,,,,,,,,,,,,
frankfurter,hamburger meat,beverages,shopping bags,,,,,,,,,,,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,candles,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,,,,,,,,,,,,,,,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,frozen potato products,brown bread,semi-finished bread,salt,canned vegetables,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,dessert,whipped/sour cream,soda,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,
citrus fruit,yogurt,canned fruit,,,,,,,,,,,,,,,,,,,,
pet care,,,,,,,,,,,,,,,,,,,,,,
butter,cream cheese ,frozen vegetables,soda,fruit/vegetable juice,napkins,shopping bags,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,onions,packaged fruit/vegetables,yogurt,napkins,,,,,,,,,,,,,,,,,
whole milk,bottled beer,,,,,,,,,,,,,,,,,,,,,
pork,,,,,,,,,,,,,,,,,,,,,,
ham,pork,whole milk,yogurt,hard cheese,spread cheese,rolls/buns,white bread,brown bread,pastry,chocolate,abrasive cleaner,dental care,napkins,newspapers,shopping bags,,,,,,,
soda,snack products,detergent,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,soda,newspapers,shopping bags,,,,,,,,,,,,,,,,,,
ham,root vegetables,onions,herbs,cream cheese ,zwieback,pot plants,,,,,,,,,,,,,,,,
sausage,misc. beverages,canned beer,waffles,shopping bags,,,,,,,,,,,,,,,,,,
dishes,,,,,,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,white wine,,,,,,,,,,,,,,,,,,,,
semi-finished bread,bottled beer,liquor,candy,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,root vegetables,other vegetables,curd,yogurt,sliced cheese,cream cheese ,specialty cheese,frozen vegetables,domestic eggs,bottled water,,,,,,,,,,,
citrus fruit,rolls/buns,specialty bar,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,
soda,misc. beverages,candy,,,,,,,,,,,,,,,,,,,,
pastry,long life bakery product,waffles,napkins,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,
specialty chocolate,,,,,,,,,,,,,,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
misc. beverages,,,,,,,,,,,,,,,,,,,,,,
seasonal products,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,butter,yogurt,cat food,coffee,bottled water,chocolate,specialty chocolate,,,,,,,,,,,,,,,
yogurt,specialty bar,,,,,,,,,,,,,,,,,,,,,
meat,beef,root vegetables,other vegetables,butter,yogurt,frozen vegetables,frozen meals,coffee,long life bakery product,shopping bags,,,,,,,,,,,,
frankfurter,tropical fruit,whole milk,cream cheese ,rolls/buns,pet care,bottled water,napkins,dishes,shopping bags,,,,,,,,,,,,,
frankfurter,onions,pickled vegetables,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,
root vegetables,yogurt,whipped/sour cream,beverages,hard cheese,cream cheese ,organic products,soda,misc. beverages,fruit/vegetable juice,liquor (appetizer),specialty chocolate,shopping bags,,,,,,,,,,
pastry,,,,,,,,,,,,,,,,,,,,,,
frankfurter,packaged fruit/vegetables,soft cheese,soda,,,,,,,,,,,,,,,,,,,
whole milk,butter,brown bread,pastry,sweet spreads,soda,newspapers,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,prosecco,,,,,,,,,,,,,,,,,,,,
beef,whole milk,white bread,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,root vegetables,other vegetables,yogurt,UHT-milk,white bread,long life bakery product,chocolate,specialty bar,candy,,,,,,,,,,,,
pork,hamburger meat,citrus fruit,butter,yogurt,whipped/sour cream,hard cheese,frozen vegetables,white bread,Instant food products,fruit/vegetable juice,salty snack,candy,shopping bags,,,,,,,,,
sausage,tropical fruit,root vegetables,other vegetables,cream cheese ,pickled vegetables,candles,,,,,,,,,,,,,,,,
whipped/sour cream,ice cream,rolls/buns,semi-finished bread,soda,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,tropical fruit,curd,dessert,processed cheese,margarine,soda,canned beer,napkins,,,,,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,
pork,tropical fruit,pip fruit,processed cheese,spread cheese,curd cheese,bottled beer,,,,,,,,,,,,,,,,
pork,citrus fruit,dessert,whipped/sour cream,cream cheese ,salty snack,dishes,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,
ham,beef,tropical fruit,whole milk,curd,yogurt,rolls/buns,ready soups,cat food,,,,,,,,,,,,,,
root vegetables,herbs,,,,,,,,,,,,,,,,,,,,,
tropical fruit,onions,other vegetables,whole milk,butter milk,pickled vegetables,kitchen towels,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,hard cheese,cream cheese ,margarine,sugar,misc. beverages,detergent,dishes,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,
brown bread,,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,
dessert,canned beer,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,cream cheese ,brown bread,,,,,,,,,,,,,,,,,,,
meat,rolls/buns,,,,,,,,,,,,,,,,,,,,,
pip fruit,yogurt,pastry,baking powder,long life bakery product,,,,,,,,,,,,,,,,,,
beef,citrus fruit,pip fruit,yogurt,condensed milk,cream cheese ,white bread,dish cleaner,hygiene articles,dishes,shopping bags,,,,,,,,,,,,
root vegetables,other vegetables,white bread,sparkling wine,,,,,,,,,,,,,,,,,,,
dessert,bottled beer,candy,,,,,,,,,,,,,,,,,,,,
dessert,pastry,canned beer,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,yogurt,bottled water,liquor (appetizer),,,,,,,,,,,,,,,,,,
beverages,cat food,dish cleaner,napkins,shopping bags,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,grapes,rolls/buns,pastry,fruit/vegetable juice,chocolate,candy,shopping bags,,,,,,,,,,,,,,
citrus fruit,grapes,whipped/sour cream,flour,margarine,sugar,soups,baking powder,long life bakery product,waffles,chocolate,specialty bar,dish cleaner,female sanitary products,cling film/bags,,,,,,,,
pastry,cake bar,,,,,,,,,,,,,,,,,,,,,
yogurt,bottled water,syrup,specialty bar,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,soda,,,,,,,,,,,,,,,,,,,,
sausage,pork,citrus fruit,bottled water,soda,misc. beverages,canned beer,red/blush wine,,,,,,,,,,,,,,,
pip fruit,other vegetables,frozen meals,,,,,,,,,,,,,,,,,,,,
sausage,white bread,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,
meat,root vegetables,whole milk,butter,processed cheese,domestic eggs,bottled water,soda,hygiene articles,,,,,,,,,,,,,,
finished products,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
chicken,citrus fruit,tropical fruit,pip fruit,whole milk,white bread,,,,,,,,,,,,,,,,,
sausage,coffee,canned beer,liquor,red/blush wine,sparkling wine,shopping bags,,,,,,,,,,,,,,,,
soda,specialty bar,,,,,,,,,,,,,,,,,,,,,
whole milk,semi-finished bread,zwieback,soda,canned beer,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,yogurt,domestic eggs,chewing gum,,,,,,,,,,,,,,,,,,
napkins,,,,,,,,,,,,,,,,,,,,,,
beef,tropical fruit,whole milk,beverages,frozen vegetables,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
ham,root vegetables,whole milk,butter,whipped/sour cream,hard cheese,rolls/buns,,,,,,,,,,,,,,,,
frankfurter,meat,pork,beef,berries,other vegetables,whole milk,domestic eggs,Instant food products,coffee,skin care,,,,,,,,,,,,
yogurt,soft cheese,rolls/buns,specialty bar,,,,,,,,,,,,,,,,,,,
turkey,beef,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
yogurt,sugar,baking powder,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,
chicken,other vegetables,whole milk,frozen vegetables,rolls/buns,pastry,,,,,,,,,,,,,,,,,
whole milk,domestic eggs,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,
sausage,pork,other vegetables,whole milk,coffee,,,,,,,,,,,,,,,,,,
chicken,bottled water,,,,,,,,,,,,,,,,,,,,,
citrus fruit,berries,other vegetables,whole milk,dessert,whipped/sour cream,cream cheese ,bottled water,,,,,,,,,,,,,,,
tropical fruit,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,hygiene articles,napkins,cling film/bags,,,,,,,,,,,,,,,,,,,
candy,,,,,,,,,,,,,,,,,,,,,,
pip fruit,bottled water,white wine,newspapers,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,mustard,bottled water,newspapers,,,,,,,,,,,,,,,,,,
coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,
sausage,meat,brown bread,bottled water,soda,canned beer,shopping bags,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,canned fish,bottled water,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,coffee,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,white bread,fruit/vegetable juice,napkins,shopping bags,,,,,,,,,,,,,,,,,
butter milk,salt,vinegar,cat food,,,,,,,,,,,,,,,,,,,
frankfurter,beef,other vegetables,whole milk,domestic eggs,rolls/buns,,,,,,,,,,,,,,,,,
frankfurter,butter milk,rolls/buns,coffee,,,,,,,,,,,,,,,,,,,
beef,tropical fruit,onions,whole milk,butter,yogurt,rolls/buns,brown bread,sauces,canned vegetables,bottled water,fruit/vegetable juice,canned beer,long life bakery product,specialty chocolate,,,,,,,,
chicken,root vegetables,margarine,bottled water,soda,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
sausage,liver loaf,whole milk,cream cheese ,rolls/buns,salt,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,
chicken,other vegetables,oil,,,,,,,,,,,,,,,,,,,,
whole milk,newspapers,,,,,,,,,,,,,,,,,,,,,
sausage,meat,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,bottled beer,newspapers,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,
bottled water,soda,misc. beverages,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
chicken,citrus fruit,root vegetables,butter,domestic eggs,brown bread,margarine,sweet spreads,dental care,shopping bags,,,,,,,,,,,,,
beverages,rolls/buns,,,,,,,,,,,,,,,,,,,,,
nuts/prunes,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,
other vegetables,curd,yogurt,shopping bags,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,frozen fish,napkins,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,
pip fruit,whole milk,yogurt,pastry,seasonal products,male cosmetics,,,,,,,,,,,,,,,,,
soda,napkins,,,,,,,,,,,,,,,,,,,,,
liver loaf,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,
pork,berries,sugar,candy,dishes,,,,,,,,,,,,,,,,,,
chicken,packaged fruit/vegetables,frozen vegetables,frozen meals,misc. beverages,newspapers,flower (seeds),,,,,,,,,,,,,,,,
tropical fruit,whole milk,butter milk,brown bread,shopping bags,,,,,,,,,,,,,,,,,,
flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,
meat,butter,pastry,soda,,,,,,,,,,,,,,,,,,,
sausage,hamburger meat,tropical fruit,whole milk,sliced cheese,rolls/buns,oil,Instant food products,soda,,,,,,,,,,,,,,
citrus fruit,other vegetables,whole milk,domestic eggs,soda,,,,,,,,,,,,,,,,,,
beef,other vegetables,whole milk,yogurt,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,domestic eggs,salt,sugar,canned vegetables,soda,canned beer,dish cleaner,hygiene articles,shopping bags,,,,,,,,,,,,,
chicken,whole milk,,,,,,,,,,,,,,,,,,,,,
chicken,hamburger meat,onions,frozen meals,domestic eggs,vinegar,Instant food products,baking powder,pudding powder,bottled water,skin care,hygiene articles,house keeping products,,,,,,,,,,
bottled water,soda,,,,,,,,,,,,,,,,,,,,,
pork,hygiene articles,,,,,,,,,,,,,,,,,,,,,
ice cream,brown bread,bottled water,soda,,,,,,,,,,,,,,,,,,,
ham,other vegetables,frozen meals,pasta,pickled vegetables,soda,misc. beverages,candy,,,,,,,,,,,,,,,
butter milk,whipped/sour cream,dog food,coffee,soda,abrasive cleaner,newspapers,,,,,,,,,,,,,,,,
frankfurter,,,,,,,,,,,,,,,,,,,,,,
pork,brown bread,bottled water,soda,,,,,,,,,,,,,,,,,,,
sausage,pork,tropical fruit,other vegetables,yogurt,frozen vegetables,rolls/buns,bottled water,,,,,,,,,,,,,,,
berries,other vegetables,curd,brown bread,canned fish,chocolate,detergent,,,,,,,,,,,,,,,,
sausage,citrus fruit,yogurt,detergent,soap,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,rolls/buns,canned beer,shopping bags,,,,,,,,,,,,,,,,,,
rolls/buns,bottled water,canned beer,newspapers,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,
root vegetables,packaged fruit/vegetables,pastry,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,pastry,waffles,specialty bar,shopping bags,,,,,,,,,,,,,,,,,
pip fruit,whole milk,curd,yogurt,whipped/sour cream,rolls/buns,oil,margarine,mustard,candles,newspapers,,,,,,,,,,,,
pork,root vegetables,other vegetables,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
onions,other vegetables,UHT-milk,condensed milk,cream cheese ,salt,sugar,dog food,soda,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,tropical fruit,pip fruit,grapes,berries,packaged fruit/vegetables,whipped/sour cream,coffee,cake bar,shopping bags,,,,,,,,,,,,,
rum,,,,,,,,,,,,,,,,,,,,,,
shopping bags,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,rice,dog food,soda,fruit/vegetable juice,dishes,shopping bags,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,,,,,
frankfurter,,,,,,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,whole milk,curd,frozen fish,domestic eggs,margarine,tea,bottled beer,canned beer,,,,,,,,,,,,,
ice cream,frozen dessert,,,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,
chicken,,,,,,,,,,,,,,,,,,,,,,
baking powder,soda,shopping bags,,,,,,,,,,,,,,,,,,,,
berries,other vegetables,,,,,,,,,,,,,,,,,,,,,
pet care,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,,,,,,,,,,,,,,,,,,,,,,
sausage,beef,pip fruit,whole milk,cream cheese ,white bread,brown bread,seasonal products,hygiene articles,,,,,,,,,,,,,,
whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,
fish,coffee,,,,,,,,,,,,,,,,,,,,,
tropical fruit,onions,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter milk,cream cheese ,rolls/buns,,,,,,,,,,,,,,,,,,,
ham,processed cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,
meat,chicken,pork,packaged fruit/vegetables,rolls/buns,pastry,rice,fruit/vegetable juice,,,,,,,,,,,,,,,
margarine,flower (seeds),,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,specialty chocolate,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,butter milk,yogurt,rolls/buns,,,,,,,,,,,,,,,,,,
sausage,sliced cheese,canned beer,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,
meat,other vegetables,pickled vegetables,coffee,liquor,long life bakery product,newspapers,,,,,,,,,,,,,,,,
soda,specialty bar,,,,,,,,,,,,,,,,,,,,,
sausage,pip fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,
pip fruit,soft cheese,,,,,,,,,,,,,,,,,,,,,
tropical fruit,margarine,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter milk,rolls/buns,meat spreads,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned fish,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,berries,coffee,detergent,candles,shopping bags,,,,,,,,,,,,,,,,
domestic eggs,soda,hygiene articles,,,,,,,,,,,,,,,,,,,,
citrus fruit,instant coffee,fruit/vegetable juice,canned beer,chocolate,candy,house keeping products,shopping bags,,,,,,,,,,,,,,,
citrus fruit,butter,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,
ice cream,brown bread,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,hard cheese,spices,coffee,canned beer,chocolate,candy,flower (seeds),shopping bags,,,,,,,,,,,,,
pip fruit,whole milk,newspapers,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,domestic eggs,pastry,salt,oil,sugar,cocoa drinks,,,,,,,,,,,,,,,
brown bread,bottled beer,,,,,,,,,,,,,,,,,,,,,
sausage,bottled water,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,butter,pastry,soda,dishes,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
soda,soap,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,mayonnaise,frozen vegetables,brown bread,pickled vegetables,canned fish,chocolate marshmallow,,,,,,,,,,,,,,,
sausage,meat,whole milk,rolls/buns,cake bar,shopping bags,,,,,,,,,,,,,,,,,
other vegetables,snack products,,,,,,,,,,,,,,,,,,,,,
beef,root vegetables,,,,,,,,,,,,,,,,,,,,,
meat,turkey,onions,other vegetables,sliced cheese,ice cream,sauces,waffles,dishes,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,
ice cream,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,
pastry,canned fish,salty snack,waffles,,,,,,,,,,,,,,,,,,,
whipped/sour cream,curd cheese,specialty chocolate,abrasive cleaner,,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,,,,
pork,root vegetables,beverages,white bread,sugar,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,
frankfurter,whole milk,yogurt,tidbits,frozen vegetables,rolls/buns,detergent,,,,,,,,,,,,,,,,
salty snack,newspapers,photo/film,,,,,,,,,,,,,,,,,,,,
photo/film,,,,,,,,,,,,,,,,,,,,,,
photo/film,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,
